Selling_Price,Present_Price,Kms_Driven
3.35,5.59,27000
4.75,9.54,43000
7.25,9.85,6900
2.85,4.15,5200
4.6,6.87,42450
9.25,9.83,2071
6.75,8.12,18796
6.5,8.61,33429
8.75,8.89,20273
7.45,8.92,42367
2.85,3.6,2135
6.85,10.38,51000
7.5,9.94,15000
6.1,7.71,26000
2.25,7.21,77427
7.75,10.79,43000
7.25,10.79,41678
7.75,10.79,43000
3.25,5.09,35500
2.65,7.98,41442
2.85,3.95,25000
4.9,5.71,2400
4.4,8.01,50000
2.5,3.46,45280
2.9,4.41,56879
3,4.99,20000
4.15,5.87,55138
6,6.49,16200
1.95,3.95,44542
7.45,10.38,45000
3.1,5.98,51439
2.35,4.89,54200
4.95,7.49,39000
6,9.95,45000
5.5,8.06,45000
2.95,7.74,49998
4.65,7.2,48767
0.35,2.28,127000
3,3.76,10079
2.25,7.98,62000
5.85,7.87,24524
2.55,3.98,46706
1.95,7.15,58000
5.5,8.06,45780
1.25,2.69,50000
7.5,12.04,15000
2.65,4.89,64532
1.05,4.15,65000
5.8,7.71,25870
7.75,9.29,37000
14.9,30.61,104707
23,30.61,40000
18,19.77,15000
16,30.61,135000
2.75,10.21,90000
3.6,15.04,70000
4.5,7.27,40534
4.75,18.54,50000
4.1,6.8,39485
19.99,35.96,41000
6.95,18.61,40001
4.5,7.7,40588
18.75,35.96,78000
23.5,35.96,47000
33,36.23,6000
4.75,6.95,45000
19.75,23.15,11000
9.25,20.45,59000
4.35,13.74,88000
14.25,20.91,12000
3.95,6.76,71000
4.5,12.48,45000
7.45,18.61,56001
2.65,5.71,43000
4.9,8.93,83000
3.95,6.8,36000
5.5,14.68,72000
1.5,12.35,135154
5.25,22.83,80000
14.5,30.61,89000
14.73,14.89,23000
4.75,7.85,40000
23,25.39,15000
12.5,13.46,38000
3.49,13.46,197176
2.5,23.73,142000
35,92.6,78000
5.9,13.74,56000
3.45,6.05,47000
4.75,6.76,40000
3.8,18.61,62000
11.25,16.09,58242
3.51,13.7,75000
23,30.61,40000
4,22.78,89000
5.85,18.61,72000
20.75,25.39,29000
17,18.64,8700
7.05,18.61,45000
9.65,20.45,50024
1.75,1.9,3000
1.7,1.82,1400
1.65,1.78,4000
1.45,1.6,1200
1.35,1.47,4100
1.35,2.37,21700
1.35,3.45,16500
1.25,1.5,15000
1.2,1.5,18000
1.2,1.47,11000
1.2,1.78,6000
1.15,1.5,8700
1.15,2.4,7000
1.15,1.4,35000
1.15,1.47,17000
1.11,1.47,17500
1.1,1.47,33000
1.1,1.9,14000
1.1,1.47,26000
1.05,1.9,5400
1.05,1.26,5700
1.05,1.5,6900
1.05,1.17,6000
1,1.47,46500
0.95,1.75,11500
0.9,1.75,40000
0.9,0.95,1300
0.75,0.8,7000
0.8,0.87,3000
0.78,0.84,5000
0.75,0.87,11000
0.75,0.82,18000
0.75,0.95,3500
0.72,0.95,500
0.65,0.81,11800
0.65,0.74,5000
0.65,1.2,23500
0.65,0.787,16000
0.6,0.87,15000
0.6,0.95,16600
0.6,1.2,32000
0.6,0.8,20000
0.6,0.84,29000
0.6,0.84,25000
0.6,0.99,25000
0.6,0.81,19000
0.55,0.787,15000
0.55,0.84,58000
0.52,0.94,45000
0.51,0.94,24000
0.5,0.826,6000
0.5,0.55,31000
0.5,0.99,13000
0.5,0.99,45000
0.5,0.88,8000
0.48,0.51,4300
0.48,0.52,15000
0.48,0.84,23000
0.48,0.54,8600
0.45,0.51,4000
0.45,0.95,24000
0.45,0.826,23000
0.45,0.99,14500
0.45,0.95,27000
0.45,0.54,14000
0.45,0.54,500
0.45,0.55,1000
0.42,0.81,42000
0.42,0.73,12000
0.4,0.54,14000
0.4,0.83,5500
0.4,0.55,6700
0.4,0.64,13700
0.4,0.51,1300
0.38,0.72,38600
0.38,0.787,75000
0.35,1.05,30000
0.35,0.57,24000
0.35,0.52,19000
0.31,1.05,213000
0.3,0.51,60000
0.3,0.48,50000
0.3,0.58,30000
0.27,0.47,21000
0.25,0.75,26000
0.25,0.58,1900
0.25,0.52,22000
0.25,0.51,32000
0.25,0.57,18000
0.2,0.57,55000
0.2,0.75,60000
0.2,0.57,25000
0.2,0.75,49000
0.2,0.65,24000
0.2,0.787,50000
0.18,0.32,35000
0.17,0.52,500000
0.16,0.51,33000
0.15,0.57,35000
0.12,0.58,53000
0.1,0.75,92233
3.25,6.79,58000
4.4,5.7,28200
2.95,4.6,53460
2.75,4.43,28282
5.25,5.7,3493
5.75,7.13,12479
5.15,5.7,34797
7.9,8.1,3435
4.85,5.7,21125
3.1,4.6,35775
11.75,14.79,43535
11.25,13.6,22671
2.9,6.79,31604
5.25,5.7,20114
4.5,9.4,36100
2.9,4.43,12500
3.15,4.43,15000
6.45,9.4,45078
4.5,9.4,36000
3.5,4.43,38488
4.5,6.79,32000
6,7.6,77632
8.25,9.4,61381
5.11,9.4,36198
2.7,4.6,22517
5.25,5.7,24678
2.55,4.43,57000
4.95,9.4,60000
3.1,6.79,52132
6.15,9.4,45000
9.25,9.4,15001
11.45,14.79,12900
3.9,5.7,53000
5.5,5.7,4492
9.1,9.4,15141
3.1,4.43,11849
11.25,13.6,68000
4.8,9.4,60241
2,4.43,23709
5.35,9.4,32322
4.75,7.13,35866
4.4,7.13,34000
6.25,7.6,7000
5.95,9.4,49000
5.2,9.4,71000
3.75,6.79,35000
5.95,9.4,36000
4,4.6,30000
5.25,7.6,17000
12.9,13.6,35934
5,9.9,56701
5.4,6.82,31427
7.2,9.9,48000
5.25,9.9,54242
3,5.35,53675
10.25,13.6,49562
8.5,13.6,40324
8.4,13.6,25000
3.9,7,36054
9.15,13.6,29223
5.5,5.97,5600
4,5.8,40023
6.6,7.7,16002
4,7,40026
6.5,8.7,21200
3.65,7,35000
8.35,9.4,19434
4.8,5.8,19000
6.7,10,18828
4.1,10,69341
3,10,69562
7.5,10,27600
2.25,7.5,61203
5.3,6.8,16500
10.9,13.6,30753
8.65,13.6,24800
9.7,13.6,21780
6,8.4,4000
6.25,13.6,40126
5.25,5.9,14465
2.1,7.6,50456
8.25,14,63000
8.99,11.8,9010
3.5,5.9,9800
7.4,8.5,15059
5.65,7.9,28569
5.75,7.5,44000
8.4,13.6,34000
10.11,13.6,10980
4.5,6.4,19000
5.4,6.1,31427
6.4,8.4,12000
3.25,9.9,38000
3.75,6.8,33019
8.55,13.09,60076
9.5,11.6,33988
4,5.9,60000
3.35,11,87934
11.5,12.5,9000
5.3,5.9,5464
